form	lemma	POS	morph
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
། །		PUNCT
ཚེ་	ཚེ་	NOUN
ལུས་	ལུས་	NOUN
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
གི་	གི་	PART
ས་	ས་	ADP
།།		PUNCT
བགྲོད་པ་	བགྲོད་པ་	VERB
ར་	ལ་	PART
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
རྨད་བྱུང་	རྨད་བྱུང་	NOUN
ལམ་པོ་ཆེ་	ལམ་པོ་ཆེ་	NOUN
།།		PUNCT
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
ར་	ལ་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
སྟོན་	སྟོན་	VERB
མཁའ་	མཁའ་	VERB
འདྲེན་པ་	འདྲེན་པ་	VERB
མཆོག་	མཆོག་	ADJ
།		PUNCT
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
གསེར་	གསེར་	NOUN
རི་	རི་	NOUN
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ར་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
བཏུད་	བཏུད་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སྤྱི་		
ངེས་དོན་	ངེས་དོན་	NOUN
གྱི་	གི་	PART
མདོ་	མདོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཐོས་བསམ་	ཐོས་བསམ་	NOUN
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ལྷག་པ་		
དམ་ཆོས་	དམ་ཆོས་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འམ་	གམ་	PART
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
ནཱ་	ནཱ་	NO_POS
རོ་	རོ་	NOUN
ཆོ་	ཆོ་	NOUN
དྲུག་	དྲུག་	NUM
སོགས་	སོགས་	DET
ཉམས་	ཉམས་	NOUN
བཞེས་	བཞེས་	VERB
སྐབས་	སྐབས་	NOUN
།		PUNCT
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
ཀྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
གསེར་	གསེར་	NOUN
རི་	རི་	NOUN
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
དད་པ་	དད་པ་	VERB
དང་	དང་	NO_POS
ཡིད་ཆེས་	ཡིད་ཆེས་	NOUN
མོས་གུས་	མོས་གུས་	NOUN
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
ཞིག་	ཅིག་	PART
ཡོད་	ཡོད་	VERB
དགོས་པ་	དགོས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཅལ་	ཅལ་	NO_POS
སྒྲོགས་	སྒྲོགས་	VERB
རྗེས་འཇུག་	རྗེས་འཇུག་	NOUN
གི་	གི་	PART
རྨོངས་དད་	རྨོངས་དད་	OTHER
ཙམ་	ཙམ་	DET
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
ར་	ལ་	PART
།		PUNCT
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
ཀྱི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བསྟན་འགྲོ་	བསྟན་འགྲོ་	OTHER
ར་	ལ་	PART
སྨན་པ་	སྨན་པ་	NOUN
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རྣམས་	རྣམས་	DET
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཤེ་	ཤེ་	VERB
ན་	ནས་	PART
།		PUNCT
ཡིད་ཆེས་	ཡིད་ཆེས་	NOUN
བཟློག་	བཟློག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
དད་གུས་	དད་གུས་	NOUN
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
ཞིག་	ཅིག་	PART
བསྐྱེད་	བསྐྱེད་	VERB
དགོས་	དགོས་	VERB
ལ་	ལ་	PART
།		PUNCT
དེ་	སྟེ་	PART
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ནི་	ནི་	NO_POS
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
གི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ཤེས་པ་	ཤེས་པ་	VERB
ལ་	ལ་	PART
རག་	རག་	VERB
ལས་པ་	ལས་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
གི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
མཇལ་	མཇལ་	NO_POS
རྒྱུ་	རྒྱུ་	NOUN
ནི་	ནི་	NO_POS
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
གལ་ཆེ་	གལ་ཆེ་	OTHER
ཞིང་	ཅིང་	PART
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
བླ་མ་	བླ་མ་	NOUN
གོང་མ་	གོང་མ་	ADJ
